Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1454138725 , Gap_End_2 : 1454138766, GeoHash : gbsg1x, Lon1 : 48.379547 , Lat1 : -4.497033, Lon2 : 48.382435 , Lat2 : -4.4966764 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1454138766 , Gap_End_2 : 1454148246, GeoHash : gbsg1x, Lon1 : 48.382435 , Lat1 : -4.4966764, Lon2 : 48.37953 , Lat2 : -4.497105 }
Suspicious RendezVous : { Vessel_1 : 999999999, Vessel_2 : 228762000 , Gap_End_1 : 1454138729 , Gap_End_2 : 1454148247, GeoHash : gbsg1m, Lon1 : 48.369934 , Lat1 : -4.513398, Lon2 : 48.369648 , Lat2 : -4.514975 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 999999999 , Gap_End_1 : 1454148247 , Gap_End_2 : 1454148248, GeoHash : gbsg1m, Lon1 : 48.369648 , Lat1 : -4.514975, Lon2 : 48.36997 , Lat2 : -4.5133533 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227003050 , Gap_End_1 : 1454138727 , Gap_End_2 : 1454148252, GeoHash : gbsg1z, Lon1 : 48.381027 , Lat1 : -4.485605, Lon2 : 48.38072 , Lat2 : -4.485873 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1454148246 , Gap_End_2 : 1454148255, GeoHash : gbsg1x, Lon1 : 48.37953 , Lat1 : -4.497105, Lon2 : 48.38365 , Lat2 : -4.49546 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1454148255 , Gap_End_2 : 1454149005, GeoHash : gbsg1x, Lon1 : 48.38365 , Lat1 : -4.49546, Lon2 : 48.38247 , Lat2 : -4.49664 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1454149005 , Gap_End_2 : 1454157565, GeoHash : gbsg1x, Lon1 : 48.38247 , Lat1 : -4.49664, Lon2 : 48.379543 , Lat2 : -4.4970136 }
Suspicious RendezVous : { Vessel_1 : 999999999, Vessel_2 : 228762000 , Gap_End_1 : 1454148248 , Gap_End_2 : 1454157567, GeoHash : gbsg1m, Lon1 : 48.36997 , Lat1 : -4.5133533, Lon2 : 48.369625 , Lat2 : -4.515 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 999999999 , Gap_End_1 : 1454157567 , Gap_End_2 : 1454157570, GeoHash : gbsg1m, Lon1 : 48.369625 , Lat1 : -4.515, Lon2 : 48.36996 , Lat2 : -4.5134315 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1454157565 , Gap_End_2 : 1454157585, GeoHash : gbsg1x, Lon1 : 48.379543 , Lat1 : -4.4970136, Lon2 : 48.38362 , Lat2 : -4.49542 }
