Suspicious RendezVous : { Vessel_1 : 227142200, Vessel_2 : 227002630 , Gap_End_1 : 1452180993 , Gap_End_2 : 1452238400, GeoHash : gbscte, Lon1 : 48.09781 , Lat1 : -4.3224034, Lon2 : 48.09628 , Lat2 : -4.32245 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227730220 , Gap_End_1 : 1452180852 , Gap_End_2 : 1452239127, GeoHash : gbsg1v, Lon1 : 48.370354 , Lat1 : -4.4898934, Lon2 : 48.370575 , Lat2 : -4.4886165 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227730220 , Gap_End_1 : 1452238717 , Gap_End_2 : 1452239127, GeoHash : gbsg1v, Lon1 : 48.36842 , Lat1 : -4.488897, Lon2 : 48.370575 , Lat2 : -4.4886165 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 234056000 , Gap_End_1 : 1452238120 , Gap_End_2 : 1452239219, GeoHash : gbsg1x, Lon1 : 48.379044 , Lat1 : -4.495385, Lon2 : 48.38031 , Lat2 : -4.498215 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1452237912 , Gap_End_2 : 1452260193, GeoHash : gbsg1m, Lon1 : 48.369167 , Lat1 : -4.513665, Lon2 : 48.36962 , Lat2 : -4.515032 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1452260193 , Gap_End_2 : 1452260214, GeoHash : gbsg1m, Lon1 : 48.36962 , Lat1 : -4.515032, Lon2 : 48.369167 , Lat2 : -4.513665 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228064900 , Gap_End_1 : 1452260214 , Gap_End_2 : 1452260247, GeoHash : gbsg1m, Lon1 : 48.369167 , Lat1 : -4.513665, Lon2 : 48.370872 , Lat2 : -4.5126386 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 228017700 , Gap_End_1 : 1452200544 , Gap_End_2 : 1452310386, GeoHash : gbsg1z, Lon1 : 48.379807 , Lat1 : -4.48578, Lon2 : 48.38109 , Lat2 : -4.48571 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 228017700 , Gap_End_1 : 1452238183 , Gap_End_2 : 1452310386, GeoHash : gbsg1z, Lon1 : 48.379814 , Lat1 : -4.485777, Lon2 : 48.38109 , Lat2 : -4.48571 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 228017700 , Gap_End_1 : 1452260155 , Gap_End_2 : 1452310386, GeoHash : gbsg1z, Lon1 : 48.379807 , Lat1 : -4.485785, Lon2 : 48.38109 , Lat2 : -4.48571 }
Suspicious RendezVous : { Vessel_1 : 228064900, Vessel_2 : 228186700 , Gap_End_1 : 1452260247 , Gap_End_2 : 1452310439, GeoHash : gbsg1m, Lon1 : 48.370872 , Lat1 : -4.5126386, Lon2 : 48.369167 , Lat2 : -4.513665 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228064900 , Gap_End_1 : 1452310439 , Gap_End_2 : 1452310468, GeoHash : gbsg1m, Lon1 : 48.369167 , Lat1 : -4.513665, Lon2 : 48.370888 , Lat2 : -4.512685 }
Suspicious RendezVous : { Vessel_1 : 228064900, Vessel_2 : 228762000 , Gap_End_1 : 1452310468 , Gap_End_2 : 1452310593, GeoHash : gbsg1m, Lon1 : 48.370888 , Lat1 : -4.512685, Lon2 : 48.36964 , Lat2 : -4.5149884 }
