Suspicious RendezVous : { Vessel_1 : 226177000, Vessel_2 : 227391000 , Gap_End_1 : 1448461889 , Gap_End_2 : 1448483098, GeoHash : gbscts, Lon1 : 48.09818 , Lat1 : -4.3254666, Lon2 : 48.098293 , Lat2 : -4.32644 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1448483041 , Gap_End_2 : 1448483175, GeoHash : gbsg1x, Lon1 : 48.382465 , Lat1 : -4.4967017, Lon2 : 48.379585 , Lat2 : -4.4970984 }
Suspicious RendezVous : { Vessel_1 : 999999999, Vessel_2 : 228186700 , Gap_End_1 : 1448461825 , Gap_End_2 : 1448528160, GeoHash : gbsg1m, Lon1 : 48.369137 , Lat1 : -4.5142584, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 999999999, Vessel_2 : 228186700 , Gap_End_1 : 1448483036 , Gap_End_2 : 1448528160, GeoHash : gbsg1m, Lon1 : 48.369152 , Lat1 : -4.5143065, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227635210 , Gap_End_1 : 1448483175 , Gap_End_2 : 1448528161, GeoHash : gbsg1x, Lon1 : 48.379585 , Lat1 : -4.4970984, Lon2 : 48.382416 , Lat2 : -4.496617 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 999999999 , Gap_End_1 : 1448528160 , Gap_End_2 : 1448528165, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.369175 , Lat2 : -4.51428 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227574020 , Gap_End_1 : 1448528161 , Gap_End_2 : 1448528166, GeoHash : gbsg1x, Lon1 : 48.382416 , Lat1 : -4.496617, Lon2 : 48.383648 , Lat2 : -4.495295 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227577000 , Gap_End_1 : 1448408529 , Gap_End_2 : 1448528187, GeoHash : gbsg1z, Lon1 : 48.381332 , Lat1 : -4.485067, Lon2 : 48.38183 , Lat2 : -4.486355 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227577000 , Gap_End_1 : 1448461816 , Gap_End_2 : 1448528187, GeoHash : gbsg1z, Lon1 : 48.38132 , Lat1 : -4.4850683, Lon2 : 48.38183 , Lat2 : -4.486355 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227577000 , Gap_End_1 : 1448483047 , Gap_End_2 : 1448528187, GeoHash : gbsg1z, Lon1 : 48.38131 , Lat1 : -4.4850817, Lon2 : 48.38183 , Lat2 : -4.486355 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1448528166 , Gap_End_2 : 1448528188, GeoHash : gbsg1x, Lon1 : 48.383648 , Lat1 : -4.495295, Lon2 : 48.38246 , Lat2 : -4.4966216 }
Suspicious RendezVous : { Vessel_1 : 227577000, Vessel_2 : 228051000 , Gap_End_1 : 1448528187 , Gap_End_2 : 1448528387, GeoHash : gbsg1z, Lon1 : 48.38183 , Lat1 : -4.486355, Lon2 : 48.381298 , Lat2 : -4.4851017 }
Suspicious RendezVous : { Vessel_1 : 999999999, Vessel_2 : 228791000 , Gap_End_1 : 1448528165 , Gap_End_2 : 1448548975, GeoHash : gbsg1m, Lon1 : 48.369175 , Lat1 : -4.51428, Lon2 : 48.369835 , Lat2 : -4.508412 }
Suspicious RendezVous : { Vessel_1 : 228791000, Vessel_2 : 999999999 , Gap_End_1 : 1448548975 , Gap_End_2 : 1448548976, GeoHash : gbsg1m, Lon1 : 48.369835 , Lat1 : -4.508412, Lon2 : 48.369152 , Lat2 : -4.514253 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1448528188 , Gap_End_2 : 1448548985, GeoHash : gbsg1x, Lon1 : 48.38246 , Lat1 : -4.4966216, Lon2 : 48.382458 , Lat2 : -4.496655 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1448548984 , Gap_End_2 : 1448548985, GeoHash : gbsg1x, Lon1 : 48.38243 , Lat1 : -4.4965334, Lon2 : 48.382458 , Lat2 : -4.496655 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227574020 , Gap_End_1 : 1448548985 , Gap_End_2 : 1448548986, GeoHash : gbsg1x, Lon1 : 48.382458 , Lat1 : -4.496655, Lon2 : 48.38364 , Lat2 : -4.49536 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227008170 , Gap_End_1 : 1448528387 , Gap_End_2 : 1448569147, GeoHash : gbsg1z, Lon1 : 48.381298 , Lat1 : -4.4851017, Lon2 : 48.38157 , Lat2 : -4.486127 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227008170 , Gap_End_1 : 1448548978 , Gap_End_2 : 1448569147, GeoHash : gbsg1z, Lon1 : 48.381325 , Lat1 : -4.485065, Lon2 : 48.38157 , Lat2 : -4.486127 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1448548986 , Gap_End_2 : 1448569149, GeoHash : gbsg1x, Lon1 : 48.38364 , Lat1 : -4.49536, Lon2 : 48.38245 , Lat2 : -4.4966884 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1448569149 , Gap_End_2 : 1448569155, GeoHash : gbsg1x, Lon1 : 48.38245 , Lat1 : -4.4966884, Lon2 : 48.383656 , Lat2 : -4.495455 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1448607144 , Gap_End_2 : 1448607271, GeoHash : gbsfc2, Lon1 : 48.29634 , Lat1 : -4.5067716, Lon2 : 48.296574 , Lat2 : -4.512388 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1448569155 , Gap_End_2 : 1448640152, GeoHash : gbsg1x, Lon1 : 48.383656 , Lat1 : -4.495455, Lon2 : 48.379513 , Lat2 : -4.4970684 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227635210 , Gap_End_1 : 1448640152 , Gap_End_2 : 1448640191, GeoHash : gbsg1x, Lon1 : 48.379513 , Lat1 : -4.4970684, Lon2 : 48.382053 , Lat2 : -4.496383 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227574020 , Gap_End_1 : 1448640191 , Gap_End_2 : 1448640220, GeoHash : gbsg1x, Lon1 : 48.382053 , Lat1 : -4.496383, Lon2 : 48.382145 , Lat2 : -4.497053 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228051000 , Gap_End_1 : 1448569147 , Gap_End_2 : 1448640570, GeoHash : gbsg1z, Lon1 : 48.38157 , Lat1 : -4.486127, Lon2 : 48.381332 , Lat2 : -4.4850864 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228051000 , Gap_End_1 : 1448607176 , Gap_End_2 : 1448640570, GeoHash : gbsg1z, Lon1 : 48.38155 , Lat1 : -4.486115, Lon2 : 48.381332 , Lat2 : -4.4850864 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228051000 , Gap_End_1 : 1448640173 , Gap_End_2 : 1448640570, GeoHash : gbsg1z, Lon1 : 48.381565 , Lat1 : -4.48611, Lon2 : 48.381332 , Lat2 : -4.4850864 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1448640220 , Gap_End_2 : 1448667811, GeoHash : gbsg1x, Lon1 : 48.382145 , Lat1 : -4.497053, Lon2 : 48.383625 , Lat2 : -4.495422 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1448667811 , Gap_End_2 : 1448667812, GeoHash : gbsg1x, Lon1 : 48.383625 , Lat1 : -4.495422, Lon2 : 48.379574 , Lat2 : -4.4971066 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227008170 , Gap_End_1 : 1448640570 , Gap_End_2 : 1448667833, GeoHash : gbsg1z, Lon1 : 48.381332 , Lat1 : -4.4850864, Lon2 : 48.381554 , Lat2 : -4.4861 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227008170 , Gap_End_1 : 1448667810 , Gap_End_2 : 1448667833, GeoHash : gbsg1z, Lon1 : 48.381325 , Lat1 : -4.485083, Lon2 : 48.381554 , Lat2 : -4.4861 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1448667812 , Gap_End_2 : 1448667840, GeoHash : gbsg1x, Lon1 : 48.379574 , Lat1 : -4.4971066, Lon2 : 48.38214 , Lat2 : -4.4970117 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1448667840 , Gap_End_2 : 1448707151, GeoHash : gbsg1x, Lon1 : 48.38214 , Lat1 : -4.4970117, Lon2 : 48.38363 , Lat2 : -4.495468 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227705102 , Gap_End_1 : 1448707150 , Gap_End_2 : 1448707151, GeoHash : gbsg1x, Lon1 : 48.382328 , Lat1 : -4.497103, Lon2 : 48.38363 , Lat2 : -4.495468 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1448707151 , Gap_End_2 : 1448707181, GeoHash : gbsg1x, Lon1 : 48.38363 , Lat1 : -4.495468, Lon2 : 48.37958 , Lat2 : -4.497065 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228051000 , Gap_End_1 : 1448667833 , Gap_End_2 : 1448707249, GeoHash : gbsg1z, Lon1 : 48.381554 , Lat1 : -4.4861, Lon2 : 48.381313 , Lat2 : -4.485085 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228051000 , Gap_End_1 : 1448707163 , Gap_End_2 : 1448707249, GeoHash : gbsg1z, Lon1 : 48.38158 , Lat1 : -4.48612, Lon2 : 48.381313 , Lat2 : -4.485085 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1448707181 , Gap_End_2 : 1448754252, GeoHash : gbsg1x, Lon1 : 48.37958 , Lat1 : -4.497065, Lon2 : 48.38365 , Lat2 : -4.495432 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227574020 , Gap_End_1 : 1448754252 , Gap_End_2 : 1448754259, GeoHash : gbsg1x, Lon1 : 48.38365 , Lat1 : -4.495432, Lon2 : 48.382168 , Lat2 : -4.497035 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227008170 , Gap_End_1 : 1448707249 , Gap_End_2 : 1448754262, GeoHash : gbsg1z, Lon1 : 48.381313 , Lat1 : -4.485085, Lon2 : 48.381588 , Lat2 : -4.4860616 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227008170 , Gap_End_1 : 1448754251 , Gap_End_2 : 1448754262, GeoHash : gbsg1z, Lon1 : 48.381344 , Lat1 : -4.4851017, Lon2 : 48.381588 , Lat2 : -4.4860616 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1448754259 , Gap_End_2 : 1448754281, GeoHash : gbsg1x, Lon1 : 48.382168 , Lat1 : -4.497035, Lon2 : 48.379555 , Lat2 : -4.497055 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227705102 , Gap_End_1 : 1448754281 , Gap_End_2 : 1448800926, GeoHash : gbsg1x, Lon1 : 48.379555 , Lat1 : -4.497055, Lon2 : 48.38363 , Lat2 : -4.4954367 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228051000 , Gap_End_1 : 1448754262 , Gap_End_2 : 1448800930, GeoHash : gbsg1z, Lon1 : 48.381588 , Lat1 : -4.4860616, Lon2 : 48.381336 , Lat2 : -4.4850965 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228051000 , Gap_End_1 : 1448800922 , Gap_End_2 : 1448800930, GeoHash : gbsg1z, Lon1 : 48.381546 , Lat1 : -4.486067, Lon2 : 48.381336 , Lat2 : -4.4850965 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1448800926 , Gap_End_2 : 1448800931, GeoHash : gbsg1x, Lon1 : 48.38363 , Lat1 : -4.4954367, Lon2 : 48.37954 , Lat2 : -4.49706 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1448800931 , Gap_End_2 : 1448800941, GeoHash : gbsg1x, Lon1 : 48.37954 , Lat1 : -4.49706, Lon2 : 48.382195 , Lat2 : -4.497085 }
