Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227005550 , Gap_End_1 : 1443732781 , Gap_End_2 : 1443735445, GeoHash : gbsg1, Lon1 : 48.382446 , Lat1 : -4.496587, Lon2 : 48.38072 , Lat2 : -4.487262 }
Suspicious RendezVous : { Vessel_1 : 227109900, Vessel_2 : 228167900 , Gap_End_1 : 1443712464 , Gap_End_2 : 1443735922, GeoHash : gbs9h, Lon1 : 47.99328 , Lat1 : -4.7068467, Lon2 : 48.0117 , Lat2 : -4.70467 }
Suspicious RendezVous : { Vessel_1 : 228195000, Vessel_2 : 227472000 , Gap_End_1 : 1443688095 , Gap_End_2 : 1443749608, GeoHash : gbs6n, Lon1 : 48.19274 , Lat1 : -4.992378, Lon2 : 48.193817 , Lat2 : -4.99902 }
Suspicious RendezVous : { Vessel_1 : 228264000, Vessel_2 : 227472000 , Gap_End_1 : 1443752756 , Gap_End_2 : 1443755860, GeoHash : gbs95, Lon1 : 48.02945 , Lat1 : -4.774182, Lon2 : 48.031483 , Lat2 : -4.7768335 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227705102 , Gap_End_1 : 1443735445 , Gap_End_2 : 1443760121, GeoHash : gbsg1, Lon1 : 48.38072 , Lat1 : -4.487262, Lon2 : 48.382435 , Lat2 : -4.496568 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1443760121 , Gap_End_2 : 1443760538, GeoHash : gbsg1, Lon1 : 48.382435 , Lat1 : -4.496568, Lon2 : 48.37953 , Lat2 : -4.4970217 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227612860 , Gap_End_1 : 1443760538 , Gap_End_2 : 1443761276, GeoHash : gbsg1, Lon1 : 48.37953 , Lat1 : -4.4970217, Lon2 : 48.382538 , Lat2 : -4.4966135 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227008170 , Gap_End_1 : 1443761276 , Gap_End_2 : 1443762851, GeoHash : gbsg1, Lon1 : 48.382538 , Lat1 : -4.4966135, Lon2 : 48.380184 , Lat2 : -4.4853816 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 227592820 , Gap_End_1 : 1443762851 , Gap_End_2 : 1443763250, GeoHash : gbsg1, Lon1 : 48.380184 , Lat1 : -4.4853816, Lon2 : 48.366276 , Lat2 : -4.486057 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227612860 , Gap_End_1 : 1443763250 , Gap_End_2 : 1443763413, GeoHash : gbsg1, Lon1 : 48.366276 , Lat1 : -4.486057, Lon2 : 48.38022 , Lat2 : -4.4971914 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 228017700 , Gap_End_1 : 1443763413 , Gap_End_2 : 1443763659, GeoHash : gbsg1, Lon1 : 48.38022 , Lat1 : -4.4971914, Lon2 : 48.381096 , Lat2 : -4.4857435 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227005550 , Gap_End_1 : 1443763659 , Gap_End_2 : 1443764240, GeoHash : gbsg1, Lon1 : 48.381096 , Lat1 : -4.4857435, Lon2 : 48.380707 , Lat2 : -4.487262 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227008170 , Gap_End_1 : 1443764240 , Gap_End_2 : 1443765317, GeoHash : gbsg1, Lon1 : 48.380707 , Lat1 : -4.487262, Lon2 : 48.38035 , Lat2 : -4.484998 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227612860 , Gap_End_1 : 1443679836 , Gap_End_2 : 1443765516, GeoHash : gbsfc, Lon1 : 48.30516 , Lat1 : -4.490245, Lon2 : 48.29608 , Lat2 : -4.51138 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227612860 , Gap_End_1 : 1443698609 , Gap_End_2 : 1443765516, GeoHash : gbsfc, Lon1 : 48.30443 , Lat1 : -4.4895935, Lon2 : 48.29608 , Lat2 : -4.51138 }
