Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228017700 , Gap_End_1 : 1446194327 , Gap_End_2 : 1446195999, GeoHash : gbse4g, Lon1 : 48.359333 , Lat1 : -4.7911983, Lon2 : 48.361324 , Lat2 : -4.7973585 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 226263000 , Gap_End_1 : 1446193620 , Gap_End_2 : 1446226544, GeoHash : gbsg1z, Lon1 : 48.38076 , Lat1 : -4.4858866, Lon2 : 48.379784 , Lat2 : -4.48579 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 226263000 , Gap_End_1 : 1446194700 , Gap_End_2 : 1446226544, GeoHash : gbsg1z, Lon1 : 48.380745 , Lat1 : -4.48587, Lon2 : 48.379784 , Lat2 : -4.48579 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227148000 , Gap_End_1 : 1446162232 , Gap_End_2 : 1446226555, GeoHash : gbsg1x, Lon1 : 48.38242 , Lat1 : -4.4966016, Lon2 : 48.380287 , Lat2 : -4.49828 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 227003050 , Gap_End_1 : 1446226544 , Gap_End_2 : 1446226561, GeoHash : gbsg1z, Lon1 : 48.379784 , Lat1 : -4.48579, Lon2 : 48.38074 , Lat2 : -4.4859266 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227002330 , Gap_End_1 : 1446226561 , Gap_End_2 : 1446226614, GeoHash : gbsg1z, Lon1 : 48.38074 , Lat1 : -4.4859266, Lon2 : 48.38066 , Lat2 : -4.4859366 }
Suspicious RendezVous : { Vessel_1 : 257739000, Vessel_2 : 220625000 , Gap_End_1 : 1446193405 , Gap_End_2 : 1446226879, GeoHash : gbsg4x, Lon1 : 48.38315 , Lat1 : -4.453965, Lon2 : 48.383533 , Lat2 : -4.4511 }
Suspicious RendezVous : { Vessel_1 : 257739000, Vessel_2 : 220625000 , Gap_End_1 : 1446226708 , Gap_End_2 : 1446226879, GeoHash : gbsg4x, Lon1 : 48.383118 , Lat1 : -4.4538984, Lon2 : 48.383533 , Lat2 : -4.4511 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446226555 , Gap_End_2 : 1446227621, GeoHash : gbsg1x, Lon1 : 48.380287 , Lat1 : -4.49828, Lon2 : 48.38246 , Lat2 : -4.496683 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 227730220 , Gap_End_1 : 1446226614 , Gap_End_2 : 1446228148, GeoHash : gbsg1z, Lon1 : 48.38066 , Lat1 : -4.4859366, Lon2 : 48.38052 , Lat2 : -4.4865785 }
