Suspicious RendezVous : { Vessel_1 : 228293000, Vessel_2 : 228037700 , Gap_End_1 : 1443679107 , Gap_End_2 : 1443698808, GeoHash : gbscte, Lon1 : 48.09795 , Lat1 : -4.3241315, Lon2 : 48.097733 , Lat2 : -4.323253 }
Suspicious RendezVous : { Vessel_1 : 228293000, Vessel_2 : 228037700 , Gap_End_1 : 1443680998 , Gap_End_2 : 1443698808, GeoHash : gbscte, Lon1 : 48.098015 , Lat1 : -4.3241315, Lon2 : 48.097733 , Lat2 : -4.323253 }
Suspicious RendezVous : { Vessel_1 : 228293000, Vessel_2 : 228037700 , Gap_End_1 : 1443683737 , Gap_End_2 : 1443698808, GeoHash : gbscte, Lon1 : 48.097965 , Lat1 : -4.3241816, Lon2 : 48.097733 , Lat2 : -4.323253 }
Suspicious RendezVous : { Vessel_1 : 228174600, Vessel_2 : 227392000 , Gap_End_1 : 1443690506 , Gap_End_2 : 1443701140, GeoHash : gbscts, Lon1 : 48.09831 , Lat1 : -4.3265834, Lon2 : 48.098385 , Lat2 : -4.3270583 }
Suspicious RendezVous : { Vessel_1 : 228174600, Vessel_2 : 227392000 , Gap_End_1 : 1443694666 , Gap_End_2 : 1443701140, GeoHash : gbscts, Lon1 : 48.098316 , Lat1 : -4.3266, Lon2 : 48.098385 , Lat2 : -4.3270583 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443674313 , Gap_End_2 : 1443707446, GeoHash : gbsg1x, Lon1 : 48.382393 , Lat1 : -4.4965467, Lon2 : 48.38254 , Lat2 : -4.49576 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443698841 , Gap_End_2 : 1443707446, GeoHash : gbsg1x, Lon1 : 48.382454 , Lat1 : -4.496723, Lon2 : 48.38254 , Lat2 : -4.49576 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443701060 , Gap_End_2 : 1443707446, GeoHash : gbsg1x, Lon1 : 48.382454 , Lat1 : -4.496703, Lon2 : 48.38254 , Lat2 : -4.49576 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227612860 , Gap_End_1 : 1443705612 , Gap_End_2 : 1443707446, GeoHash : gbsg1x, Lon1 : 48.382473 , Lat1 : -4.4966865, Lon2 : 48.38254 , Lat2 : -4.49576 }
Suspicious RendezVous : { Vessel_1 : 228037700, Vessel_2 : 228037600 , Gap_End_1 : 1443698808 , Gap_End_2 : 1443711684, GeoHash : gbscte, Lon1 : 48.097733 , Lat1 : -4.323253, Lon2 : 48.097412 , Lat2 : -4.3230414 }
Suspicious RendezVous : { Vessel_1 : 228037700, Vessel_2 : 228037600 , Gap_End_1 : 1443709057 , Gap_End_2 : 1443711684, GeoHash : gbscte, Lon1 : 48.09767 , Lat1 : -4.3232684, Lon2 : 48.097412 , Lat2 : -4.3230414 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227705102 , Gap_End_1 : 1443707446 , Gap_End_2 : 1443714922, GeoHash : gbsg1x, Lon1 : 48.38254 , Lat1 : -4.49576, Lon2 : 48.38238 , Lat2 : -4.496578 }
Suspicious RendezVous : { Vessel_1 : 228037600, Vessel_2 : 228293000 , Gap_End_1 : 1443711684 , Gap_End_2 : 1443715104, GeoHash : gbscte, Lon1 : 48.097412 , Lat1 : -4.3230414, Lon2 : 48.098015 , Lat2 : -4.324265 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443692993 , Gap_End_2 : 1443721318, GeoHash : gbsg1z, Lon1 : 48.38069 , Lat1 : -4.487282, Lon2 : 48.3811 , Lat2 : -4.485725 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443712820 , Gap_End_2 : 1443721318, GeoHash : gbsg1z, Lon1 : 48.380707 , Lat1 : -4.48725, Lon2 : 48.3811 , Lat2 : -4.485725 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227005550 , Gap_End_1 : 1443721318 , Gap_End_2 : 1443735445, GeoHash : gbsg1z, Lon1 : 48.3811 , Lat1 : -4.485725, Lon2 : 48.38072 , Lat2 : -4.487262 }
Suspicious RendezVous : { Vessel_1 : 228264000, Vessel_2 : 227472000 , Gap_End_1 : 1443752756 , Gap_End_2 : 1443755860, GeoHash : gbs95r, Lon1 : 48.02945 , Lat1 : -4.774182, Lon2 : 48.031483 , Lat2 : -4.7768335 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1443714922 , Gap_End_2 : 1443760538, GeoHash : gbsg1x, Lon1 : 48.38238 , Lat1 : -4.496578, Lon2 : 48.37953 , Lat2 : -4.4970217 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1443716882 , Gap_End_2 : 1443760538, GeoHash : gbsg1x, Lon1 : 48.382412 , Lat1 : -4.4965568, Lon2 : 48.37953 , Lat2 : -4.4970217 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1443732781 , Gap_End_2 : 1443760538, GeoHash : gbsg1x, Lon1 : 48.382446 , Lat1 : -4.496587, Lon2 : 48.37953 , Lat2 : -4.4970217 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227635210 , Gap_End_1 : 1443760121 , Gap_End_2 : 1443760538, GeoHash : gbsg1x, Lon1 : 48.382435 , Lat1 : -4.496568, Lon2 : 48.37953 , Lat2 : -4.4970217 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 227612860 , Gap_End_1 : 1443760538 , Gap_End_2 : 1443761276, GeoHash : gbsg1x, Lon1 : 48.37953 , Lat1 : -4.4970217, Lon2 : 48.382538 , Lat2 : -4.4966135 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227008170 , Gap_End_1 : 1443735445 , Gap_End_2 : 1443762851, GeoHash : gbsg1z, Lon1 : 48.38072 , Lat1 : -4.487262, Lon2 : 48.380184 , Lat2 : -4.4853816 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228017700 , Gap_End_1 : 1443762851 , Gap_End_2 : 1443763659, GeoHash : gbsg1z, Lon1 : 48.380184 , Lat1 : -4.4853816, Lon2 : 48.381096 , Lat2 : -4.4857435 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227005550 , Gap_End_1 : 1443763659 , Gap_End_2 : 1443764240, GeoHash : gbsg1z, Lon1 : 48.381096 , Lat1 : -4.4857435, Lon2 : 48.380707 , Lat2 : -4.487262 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 227008170 , Gap_End_1 : 1443764240 , Gap_End_2 : 1443765317, GeoHash : gbsg1z, Lon1 : 48.380707 , Lat1 : -4.487262, Lon2 : 48.38035 , Lat2 : -4.484998 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228064900 , Gap_End_1 : 1443724107 , Gap_End_2 : 1443765654, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.370773 , Lat2 : -4.5130367 }
