                             1 228051000,     -4.4719567,     48.379505, 1444124397
                             1 228051000,     -4.476495,     48.37903, 1444124466
                             1 228051000,     -4.4771833,     48.37912, 1444124477
                             1 228051000,     -4.4777417,     48.379223, 1444124486
                             1 228051000,     -4.4784117,     48.379368, 1444124497
                             1 228051000,     -4.4796333,     48.37962, 1444124517
                             1 228051000,     -4.47593,     48.378967, 1444124457
                             1 227730220,     -4.482013,     48.37974, 1444242602
                             1 227730220,     -4.481808,     48.37989, 1444242608
                             1 227730220,     -4.48174,     48.37994, 1444242610
                             1 227730220,     -4.4814,     48.38018, 1444242620
                             1 227730220,     -4.48001,     48.381172, 1444242660
                             1 227730220,     -4.4820485,     48.37972, 1444242600
                             1 227005550,     -4.4737535,     48.379288, 1444313008
                             1 227005550,     -4.475025,     48.379032, 1444313030
                             1 227005550,     -4.4750814,     48.37903, 1444313032
                             1 227005550,     -4.47608,     48.37896, 1444313051
                             1 227005550,     -4.477055,     48.379013, 1444313070
                             1 227005550,     -4.471687,     48.379772, 1444312972
                             1 227005550,     -4.478123,     48.37916, 1444313090
                             1 227005550,     -4.4791265,     48.379333, 1444313110
                             1 227005550,     -4.4796286,     48.379425, 1444313120
                             1 227005550,     -4.4806066,     48.37956, 1444313140
                             1 227005550,     -4.48111,     48.379627, 1444313150
                             1 227005550,     -4.477617,     48.379086, 1444313080
                             1 227002330,     -4.482207,     48.37876, 1444378937
                             1 227002330,     -4.481817,     48.378986, 1444378947
                             1 227002330,     -4.481645,     48.379086, 1444378952
                             1 227002330,     -4.480975,     48.379494, 1444378967
                             1 227002330,     -4.47944,     48.380592, 1444379007
                             1 227002330,     -4.48238,     48.37866, 1444378934
                             1 228051000,     -4.472665,     48.37933, 1444391165
                             1 228051000,     -4.4732385,     48.379234, 1444391174
                             1 228051000,     -4.4738817,     48.37913, 1444391184
                             1 228051000,     -4.4745917,     48.379036, 1444391194
                             1 228051000,     -4.47518,     48.37898, 1444391204
                             1 228051000,     -4.47195,     48.37944, 1444391153
                             1 228051000,     -4.4764833,     48.379005, 1444391225
                             1 228051000,     -4.477065,     48.379086, 1444391235
                             1 228051000,     -4.47757,     48.37919, 1444391244
                             1 228051000,     -4.4781733,     48.379345, 1444391255
                             1 228051000,     -4.4786615,     48.379475, 1444391264
                             1 228051000,     -4.4758234,     48.378967, 1444391213
                             1 246254000,     -4.476092,     48.379055, 1444400011
                             1 246254000,     -4.4756784,     48.37898, 1444400021
                             1 246254000,     -4.4752984,     48.378914, 1444400031
                             1 246254000,     -4.474953,     48.37886, 1444400041
                             1 246254000,     -4.4745584,     48.378807, 1444400051
                             1 246254000,     -4.47678,     48.3792, 1444399991
                             1 246254000,     -4.473747,     48.37871, 1444400071
                             1 246254000,     -4.47334,     48.378647, 1444400081
                             1 246254000,     -4.472892,     48.37856, 1444400092
                             1 246254000,     -4.472525,     48.378487, 1444400101
                             1 246254000,     -4.472113,     48.3784, 1444400111
                             1 246254000,     -4.4741535,     48.378765, 1444400060
                             1 228051000,     -4.4805,     48.379494, 1444472364
                             1 228051000,     -4.480095,     48.37945, 1444472374
                             1 228051000,     -4.4792786,     48.37935, 1444472395
                             1 228051000,     -4.478835,     48.379288, 1444472405
                             1 228051000,     -4.477685,     48.37911, 1444472434
                             1 228051000,     -4.4808884,     48.379536, 1444472355
                             1 228051000,     -4.47687,     48.37903, 1444472454
                             1 228051000,     -4.4764166,     48.378998, 1444472465
                             1 228051000,     -4.4759965,     48.378963, 1444472474
                             1 228051000,     -4.4751983,     48.378933, 1444472494
                             1 228051000,     -4.474715,     48.37893, 1444472504
